Session_FinalSessionNumber	Session_Clientid	Session_Title	Slot_Date	 Slot_StartTime	Slot_EndTime	Session_CECredit	Session_Withdrawn	Session_SubTitle	Session_VerificationLevel	Property_Name	Room_Name	Session_Award	Program_Code
DEC01	12809	Emergency General Surgery Review	10/15/2016	8:00 AM	3:30 PM	6	N	Emergency general surgery continues to evolve.  A panel of experienced experts will discuss a broad range of topics and examine new trends in operative and nonoperative management of common emergency general surgery topics for surgeons in all settings who care for this challenging patient population.	II	Washington DC Convention Center	151 A	Y	2016_dec
DEC02	12811	Atypical Breast Lesions: Defining and Managing this High-Risk Population	10/15/2016	8:30 AM	4:00 PM	6	N	Atypical hyperplasia is found on core needle breast biopsy in only 5-10% of cases but the surgical and subsequent clinical management of these patients has changed significantly in the last decade. These atypical lesions include atypical ductal hyperplasia atypical lobular hyperplasia papillomas radial scar and flat epithelial atypia.   This session will discuss these lesions and identify which of those are risk lesions and which are potential precursor breast cancer lesions.  The role and indications for excisional biopsy will be discussed. Chemoprevention management and increased screening and type of surveillance will be also be reviewed.	II	Washington DC Convention Center	151 B	Y	2016_dec
DEC03	12821	Surgical Education: Principles and Practice	10/15/2016	9:00 AM	4:30 PM	6	N	The objective of this course is to enhance the teaching skills of surgeons active in student and resident education.  The principles of adult learning mentoring needs assessment questioning skills conference management feedback and performance evaluation will be reviewed.  In addition participants will develop a thorough generational understanding of the practical applications of these principles both in and out of the operating room. This course includes a workshop with interactive small group discussions.	II	Washington DC Convention Center	140	Y	2016_dec
DEC04	13497	Global Health Competencies for Surgeons: Cognitive and System Skills	10/15/2016	9:00 AM	4:30 PM	6	N	This course will help prepare the international volunteer to understand characteristics of low resource surgical environments situational ethics cultural competency tropical diseases relevant in surgery personal preparedness and health considerations responsibilities as a health work and the scope of the  essential surgical  procedures as defined by the Disease Control Priorities (DCP-3).	II	Washington DC Convention Center	103A	Y	2016_dec
DEC04B	12813	Cancelled	10/15/2016	12:30 PM	4:30 PM	4	N	This course will help prepare the international volunteer to understand characteristics of low resource surgical environments situational ethics cultural competency tropical diseases relevant in surgery personal preparedness and health considerations responsibilities as a health work and the scope of the  essential surgical  procedures as defined by the Disease Control Priorities (DCP-3).	II			Y	2016_dec
DEC05	12815	Update in Trauma Care	10/16/2016	8:00 AM	3:30 PM	6	N	Trauma care continues to evolve.  New technology new resuscitation strategies and new diagnostic options are all merging with traditional paradigms to produce state of the art care with ever improving outcomes.  This review will cover trauma care from top to bottom with a highly skilled and experienced panel of surgeons who can share their wealth of experience.	II	Washington DC Convention Center	151 A	Y	2016_dec
DEC06	12817	Office and Hospital Coding: What to Bill How to Document & Appeal - 2016 Basic Coding Workshop	10/16/2016	8:30 AM	4:00 PM	6	N	This course is focused on fine-tuning the business and reimbursement side of surgeons practices. Participants will receive information and tools needed to code evaluation and management (E/M) services with confidence utilize modern payment technologies evaluate and improve billing and collections systems and prepare for the coming changes in health care reimbursement. Learning objectives include: selecting the right type of code and level of service in all situations correctly identifying E/M services that are part of the global payment and those that may be separately billed and reducing the chance of an audit by documenting correctly. This session will also provide specific examples designed to explain critical care billing during the pre-op and post-op period.	II	Washington DC Convention Center	103A	Y	2016_dec
DEC07	12819	Fertility and Pregnancy in the Young Breast Cancer Patient and those with Genetic Mutations	10/16/2016	9:00 AM	4:30 PM	6	N	As the survival rates for young women with breast cancer improve and the identification of young breast cancer (BRCA) mutation carriers increases; secondary issues of fertility breast preservation mutation testing and timing of prophylactic mastectomy and bilateral oophorectomy have become more common. This session will discuss fertility preservation the role of the reproduction endocrinologist and the National Comprehensive Cancer Network (NCCN) guidelines regarding assessment and referral of patients to these services. It will also discuss the issues surrounding pregnancy and fertility after the diagnosis and treatment of breast cancer and those who do not have cancer but are positive for a genetic mutation.  The timing and management of subsequent pregnancies and prophylactic surgery will also be discussed and reviewed.	II	Washington DC Convention Center	151 B	Y	2016_dec
DEC08	13465	Measure Twice Cut Once! Optimizing Surgical Systems of Care	10/16/2016	9:00 AM	4:30 PM	6	N	Surgeons are in a unique position to maximize surgical care by applying principles of health systems engineering to their practices.  Learn the critical differences between health systems engineering (HSE) and the traditional approaches to quality improvement.  Simple HSE strategies can be used to identify potential problems measure them in a feasible way interpret results propose solutions and make adjustments as needed.  Microsoft Excel can be used for all the necessary tools and a few very powerful techniques will be taught to help clinicians understand analyze and improve their systems of care and to measure outcomes important to them.  This course will teach the fundamental principles and skills of HSE to help surgeons lead the way in making important changes to practice and collaborating better with the other members of the performance improvement team. (Participants will need to bring a laptop computer with Excel 2007 or a later version.  Lunch will be provided.)		Washington DC Convention Center	103B	Y	2016_dec
DEC10	12823	Challenges in General Surgery Coding and Reimbursement: 2016 Advanced Coding Workshop	10/17/2016	9:45 AM	5:15 PM	6	N	This course is an in-depth focus on evaluation and management (E/M) services. This course will cover how to identify and document the appropriate level of service and also will cover reimbursement issues including ways to expedite reimbursement with fewer denials by understanding the billing rules. In addition the course will address Current Procedure Terminology (CPT) Healthcare Common Procedure Coding System (HCPCS) modifiers and the surgical global package. Learning objectives include: effectively incorporate 2016 CPT code changes and guidelines into practice describe how CPT rules and Medicare rules differ and how this impacts coding and billing define modifiers: how they are used and how they impact reimbursement and identify coding guidelines for the most common procedures performed by general surgeons.	II	Washington DC Convention Center	140	Y	2016_dec
DEC11-1	12825	General Surgery Review Course	10/17/2016	10:00 AM	5:00 PM	12	N	This two-day course will provide a concise review of a majority of the essential content areas in general surgery. The course will help surgeons comply with Maintenance of Certification requirements and help guide their preparation for recertification examinations.  A distinguished faculty will use an interactive case-based format that will cover the core elements of general surgery including abdomen gastrointestinal tract trauma critical care breast endocrine vascular perioperative care. Questions will be available for review by participants prior to the course. During the course an interactive audience response system will be used and following the audience response system the correct answer will be discussed by the faculty. At the conclusion of the course participants will receive a syllabus with all questions answers supporting discussions and bibliography.	II	Washington DC Convention Center	147	Y	2016_dec
DEC11-2	13425	General Surgery Review Course	10/18/2016	8:00 AM	4:00 PM	0	N	This two-day course will provide a concise review of a majority of the essential content areas in general surgery. The course will help surgeons comply with Maintenance of Certification requirements and help guide their preparation for recertification examinations.  A distinguished faculty will use an interactive case-based format that will cover the core elements of general surgery including abdomen gastrointestinal tract trauma critical care breast endocrine vascular perioperative care. Questions will be available for review by participants prior to the course. During the course an interactive audience response system will be used and following the audience response system the correct answer will be discussed by the faculty. At the conclusion of the course participants will receive a syllabus with all questions answers supporting discussions and bibliography.		Washington DC Convention Center	147	N	2016_dec
DEC12	12827	How Do I Get My Hospital Verified as a Children's Surgical Center?	10/17/2016	10:00 AM	2:15 PM	4	N	The ACS has launched a new verification program for centers providing surgical care to children. Optimal resources have been outlined for achievement of Level I II and III status.  Free-standing childrens hospitals childrens hospitals within a hospital and ambulatory surgical facilities may go through the verification process. Inherent to the program is the establishment of Performance Improvement (PI) Programs including the Pediatric NSQIP model for pediatric surgery and the surgical sub-specialties. This course will educate surgeons anesthesiologists advance practice nurses and administrators regarding elements of site visit preparation including administrative authority how to create an adequate PIPS program and effective use of pediatric NSQIP data for PI and loop closure. This course will complement but not compete with the 2016 Pediatric Surgery Day program.	II	Washington DC Convention Center	151 B	Y	2016_dec
DEC13	12829	Wound Care: Mentoring the Mentors	10/17/2016	1:00 PM	5:15 PM	4	N	The objective of this course is to understand the etiology distribution and best practice guidelines for treatment of wounds; as they occur in the United States.  The course will divide wound care by etiology of the wound and pursue the best evidence supporting current diagnosis and treatment of the categories.  Practical application of these algorithms will be discussed  including  implementation cost effectiveness and dissemination to the Mentors facility staff.  The final goal will be that the Mentor returns to their parent institution with their current fund of knowledge supported and enhanced; while armed with the tools to disseminate evidence supported plans of care.	II	Washington DC Convention Center	151 A	Y	2016_dec
DEC14	12831	Prehabilitation and Enhanced Recovery	10/18/2016	8:30 AM	12:45 PM	4	N	This session will review how various evidence-based interventions can be implemented before during and after surgery to reduce surgical stress response and achieve optimal patient recovery for major abdominal surgery. The panelists will give pragmatic advice on how different modalities (pre-operative risk assessment surgery anesthesia nutrition early mobilization and feeding) may be integrated in critical pathways for surgical procedures. The discussion will focus on pre-operative counseling (e.g. geriatric assessment and incorporation of the ACS risk calculator) management of patients expectations barriers to implementation of fast-track protocols and limitations of enhanced recovery pathways. The discussion will also address the role of a surgeon champion to engage physician nursing and ancillary hospital staff to create cultural system-level changes.	II	Washington DC Convention Center	151 A	Y	2016_dec
DEC15	12833	Thyroid and Parathyroid Ultrasound in Practice: Improving Interpretation Expanding Application	10/18/2016	9:00 AM	1:15 PM	4	N	Advanced concepts pertaining to the sonographic evaluation diagnosis and treatment of thyroid and parathyroid disorders. The ACS has for many years provided education and hands-on skills courses in thyroid and parathyroid ultrasonography. A growing number of surgeons have received training in the fundamentals and basic use of ultrasonography in clinical practice. In the interest of continuing education and to help clinicians take their ultrasound skills to a higher level with confidence the objectives of this course include (1) review of strategies for interpretation of ultrasound images and diagnostic challenges (2) familiarization with innovations and interventional procedures using ultrasound (3) and provision of CME credit required for surgeons who wish to apply for ultrasound accreditation. Instruction in pattern recognition and thyroid nodule risk of malignancy assessment dynamic maneuvers such as laryngeal ultrasound and real case studies including correlation of ultrasound findings with surgical outcomes will enhance the participants practical application of thyroid and parathyroid ultrasonography.	II	Washington DC Convention Center	103B	Y	2016_dec
DEC16	12835	Maintenance of Certification (MOC) Review: Essentials for Surgical Specialties	10/19/2016	8:00 AM	12:15 PM	4	N	The surgical fundamentals are competencies that are common to all the surgical subspecialties and are tested during the Maintenance of Certification recertification process. They include topics such as: emergency airway management deep vein thrombosis prophylaxis post-op management including myocardial infarction recognition conscious sedation treatment of anaphylaxis blood conservation pain management and patient safety issues to name a few. This course seeks to bring subject matter experts to educate surgeons from all the subspecialties on these topics with an emphasis on preparation for Maintenance of Certification specific to these fundamental competencies. This is a one-stop shop for you to quickly get up to speed through a refresher course for all these areas and concentrate on the studying the other materials specific to your subspecialties.	II	Washington DC Convention Center	151 A	Y	2016_dec
DEC17	12837	Annual Update in Surgical Critical Care	10/19/2016	8:00 AM	5:30 PM	8	N	The field of surgical critical care is undergoing rapid change.  The purpose of this session is to provide a succinct practical review of the major changes that should be integrated into the practices of those that attend this session.  This will be a fast paced review of the relevant changes to critical care practices that have occurred over the last year.  Dynamic experts in the field will review the literature and provide tips and tricks for implementing these changes into practice.	II	Washington DC Convention Center	151 B	Y	2016_dec
DEC18	12839	Innovation and Invention in Surgery	10/19/2016	8:30 AM	4:00 PM	6	N	The course will outline the process of developing protecting funding and commercializing innovations and inventions in surgery. Learning objectives include recognition and formulation of market opportunities; developing business plans; obtaining funding; market sizing; intellectual property regulatory and reimbursement strategies; prototyping; cost engineering; revenue models; clinical trials; management of conflicts of interest; company formation and governance including boards and advisors; strategic industry partnerships; distribution models; and exit strategies. The course is an adaptation of material taught in the Biomedical Entrepreneurship Program of the Harvard-MIT Program in Health Sciences and Technology at Harvard Business School.	II	Washington DC Convention Center	103A	Y	2016_dec
ME101	12949	Anorectal Surgery	10/17/2016	1:15 PM	2:15 PM	1	N			Washington DC Convention Center	141	N	2016_me
ME102	12953	Complex Abdominal Trauma	10/17/2016	1:15 PM	2:15 PM	1	N			Washington DC Convention Center	142	N	2016_me
ME103	12955	Critical Issues in Laparoscopic Ventral Hernia Repair	10/17/2016	1:15 PM	2:15 PM	1	N			Washington DC Convention Center	204 A	N	2016_me
ME104	12957	Crohns Disease: Basic Principles to Steer You Away From Trouble	10/17/2016	1:15 PM	2:15 PM	1	N			Washington DC Convention Center	158B	N	2016_me
ME105	13025	How to Get Your Research Published	10/17/2016	1:15 PM	2:15 PM	1	N			Washington DC Convention Center	148	N	2016_me
ME106	12959	How to Mentor a Newly Trained Partner	10/17/2016	1:15 PM	2:15 PM	1	N			Washington DC Convention Center	159 A	N	2016_me
ME107	12961	Management of Mega Goiters	10/17/2016	1:15 PM	2:15 PM	1	N			Washington DC Convention Center	159 B	N	2016_me
ME108	12965	Management of the Axilla in T1 or T2 Breast Cancer	10/17/2016	1:15 PM	2:15 PM	1	N			Washington DC Convention Center	156	N	2016_me
ME109	12963	Medullary Thyroid Carcinoma 101: What Do You Need to Know?	10/17/2016	1:15 PM	2:15 PM	1	N			Washington DC Convention Center	158A	N	2016_me
ME110	12937	Prostate Cancer	10/17/2016	1:15 PM	2:15 PM	1	N			Washington DC Convention Center	203 A	N	2016_me
ME111	12971	Peritoneal Dialysis Catheters: Correcting Problem Catheters and Planning Placement for Optimal Function	10/17/2016	1:15 PM	2:15 PM	1	N			Washington DC Convention Center	203 B	N	2016_me
ME112	12975	Personalized Medicine for Breast Cancer	10/17/2016	1:15 PM	2:15 PM	1	N			Washington DC Convention Center	208 A	N	2016_me
ME113	12977	The Difficult Gallbladder: Tricks of the Trade	10/17/2016	1:15 PM	2:15 PM	1	N			Washington DC Convention Center	155	N	2016_me
ME114	12979	TNM Cancer Staging: Is It Still Relevant?	10/17/2016	1:15 PM	2:15 PM	1	N			Washington DC Convention Center	208 B	N	2016_me
ME115	12981	Treatment Options for Anal Fissure	10/17/2016	1:15 PM	2:15 PM	1	N			Washington DC Convention Center	209 A	N	2016_me
ME201	12987	Abdominal Compartment Syndrome	10/18/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	158A	N	2016_me
ME202	12989	Advancing the Use of Ultrasound in Acute Care Surgery	10/18/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	158B	N	2016_me
ME203	12991	Approaches to Acute Pancreatitis	10/18/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	159 A	N	2016_me
ME204	12943	Nonoperative Management of Appendicitis	10/18/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	141	N	2016_me
ME205	12995	Breast Cancer Management in 2016	10/18/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	156	N	2016_me
ME206	12997	Bundling Payment in Surgical Services	10/18/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	159 B	N	2016_me
ME207	12999	Clostridium Difficile Colitis: Is It Getting Out of Hand?	10/18/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	203 A	N	2016_me
ME208	13001	Fixation of Rib Fractures	10/18/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	203 B	N	2016_me
ME209	13003	Gastrointestinal Stomal Tumors (GIST)	10/18/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	142	N	2016_me
ME210	13005	Laparoscopic Colectomy: Tips and Tricks	10/18/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	209 A	N	2016_me
ME211	13007	Maintenance of Certification - Colon and Rectal Surgery	10/18/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	148	N	2016_me
ME212	13009	Mesh for Hernia Repair: The Good the Bad and the Ugly	10/18/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	204 A	N	2016_me
ME213	13011	Minimally Invasive Parathyroidectomy: How I do it	10/18/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	208 B	N	2016_me
ME214	13013	Neuroendocrine Tumors of the Pancreas 101: What Do I Need to Know?	10/18/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	155	N	2016_me
ME215	13015	Voice Rehabilitation after Recurrent Nerve Injury :  How and When to Fix It	10/18/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	208 A	N	2016_me
ME301	13019	Anal Neoplasia	10/19/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	158A	N	2016_me
ME302	12951	Assessing Ocular and Orbital Trauma:  What to Do Until the Ophthalmologist Arrives	10/19/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	158B	N	2016_me
ME303	13021	Evaluation and Management of Pancreatic Cysts	10/19/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	141	N	2016_me
ME304	13023	Genitourinary Trauma	10/19/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	159 A	N	2016_me
ME305	13027	Intrahepatic Cholangiocarcinoma: Update on Treatment Strategies and Clinical Management	10/19/2016	11:30 AM	12:30 PM	1	N			Washington DC Convention Center	159 B	N	2016_me
